"method","estimate","se","lower","upper"
"Crude",0.0353162406967786,0.00736920618319138,0.0208725965777235,0.0497598848158337
"Regression adjusted",-0.0259500643955298,0.0075953995536413,-0.0408370475206668,-0.0110630812703929
"Propensity score matching (ATT)",-0.0288509784244857,0.00857392160569916,-0.0456558647716561,-0.0120460920773153
"Stabilized IPTW (ATE)",-0.0194397732167968,0.00783673332147239,-0.0347997705268827,-0.00407977590671093
"Doubly robust AIPW (ATE)",-0.0258073619785271,0.00770535316132237,-0.040909854174719,-0.0107048697823353
